n,adc_buffer
962,-0.9963126182556152
963,-0.997704267501831
964,-0.9757046699523926
965,-0.9307538270950317
966,-0.8639788627624512
967,-0.7768813371658325
968,-0.6715589761734009
969,-0.5504475831985474
970,-0.4164295494556427
971,-0.2726162075996399
972,-0.12241067737340927
973,0.030674226582050323
974,0.18303988873958588
975,0.3310887813568115
976,0.4713861346244812
977,0.6005955934524536
978,0.7157308459281921
979,0.8140209913253784
980,0.89322429895401
981,0.951417088508606
982,0.9873014092445374
983,0.999962329864502
984,0.9891765117645264
985,0.9551267623901367
986,0.8986796736717224
987,0.8210939168930054
988,0.7242470979690552
989,0.6103713512420654
990,0.4821837842464447
991,0.342654287815094
992,0.19509032368659973
993,0.042937442660331726
994,-0.1102222129702568
995,-0.26077765226364136
996,-0.405230313539505
997,-0.5401512384414673
998,-0.6624068021774292
999,-0.769088864326477
1000,-0.8577286005020142
1001,-0.9261927604675293
1002,-0.9729399681091309
1003,-0.996801495552063
1004,-0.9972904324531555
1005,-0.9743210077285767
1006,-0.9285104274749756
1007,-0.860856831073761
1008,-0.7730180025100708
1009,-0.666987419128418
1010,-0.545324981212616
1011,-0.4108354449272156
1012,-0.2667127549648285
1013,-0.11631644517183304
1014,0.03680722042918205
1015,0.1890650987625122
1016,0.33687856793403625
1017,0.4767797291278839
1018,0.6055014729499817
1019,0.7199889421463013
1020,0.8175848126411438
1021,0.8959493637084961
1022,0.9533060193061829
1023,0.9882389307022095
1024,1.0
1025,0.9882389307022095
1026,0.9533095955848694
1027,0.8959547281265259
1028,0.817591667175293
1029,0.7199972867965698
1030,0.6055110692977905
1031,0.47679024934768677
1032,0.3368898630142212
1033,0.1890650987625122
1034,0.03680722042918205
1035,-0.11631644517183304
1036,-0.2667127549648285
1037,-0.4108245074748993
1038,-0.5453148484230042
1039,-0.6669784784317017
1040,-0.7730104327201843
1041,-0.8608506917953491
1042,-0.928506076335907
1043,-0.9743210077285767
1044,-0.9972904324531555
1045,-0.996801495552063
1046,-0.9729399681091309
1047,-0.9261972904205322
1048,-0.8577346801757812
1049,-0.7690964937210083
1050,-0.6624158024787903
1051,-0.5401613116264343
1052,-0.40524131059646606
1053,-0.2607892155647278
1054,-0.1102222129702568
1055,0.042937442660331726
1056,0.19509032368659973
1057,0.34264302253723145
1058,0.48217326402664185
1059,0.6103618144989014
1060,0.7242388129234314
1061,0.8210870623588562
1062,0.898674488067627
1063,0.9551231861114502
1064,0.9891765117645264
1065,0.999962329864502
1066,0.9873014092445374
1067,0.951417088508606
1068,0.893229603767395
1069,0.8140280246734619
1070,0.7157391309738159
1071,0.6006051898002625
1072,0.4713967442512512
1073,0.33110007643699646
1074,0.18303988873958588
1075,0.030674226582050323
1076,-0.12241067737340927
1077,-0.2726162075996399
1078,-0.4164186120033264
1079,-0.5504375696182251
1080,-0.6715500354766846
1081,-0.7768738269805908
1082,-0.8639728426933289
1083,-0.9307494163513184
1084,-0.9757021069526672
1085,-0.997704267501831
1086,-0.9963126182556152
1087,-0.9714856147766113
1088,-0.9238840341567993
1089,-0.8545480966567993
1090,-0.765174925327301
1091,-0.6578033566474915
1092,-0.5349976420402527
1093,-0.39961665868759155
